"plz","kvbezirk","kv","Bundesland"
1067,"Dresden","Sachsen","Sachsen"
1069,"Dresden","Sachsen","Sachsen"
1097,"Dresden","Sachsen","Sachsen"
1099,"Dresden","Sachsen","Sachsen"
1108,"Dresden","Sachsen","Sachsen"
1109,"Dresden","Sachsen","Sachsen"
1127,"Dresden","Sachsen","Sachsen"
1129,"Dresden","Sachsen","Sachsen"
1139,"Dresden","Sachsen","Sachsen"
1156,"Dresden","Sachsen","Sachsen"
1157,"Dresden","Sachsen","Sachsen"
1159,"Dresden","Sachsen","Sachsen"
1169,"Dresden","Sachsen","Sachsen"
1187,"Dresden","Sachsen","Sachsen"
1189,"Dresden","Sachsen","Sachsen"
1217,"Dresden","Sachsen","Sachsen"
1219,"Dresden","Sachsen","Sachsen"
1237,"Dresden","Sachsen","Sachsen"
1239,"Dresden","Sachsen","Sachsen"
1257,"Dresden","Sachsen","Sachsen"
1259,"Dresden","Sachsen","Sachsen"
1277,"Dresden","Sachsen","Sachsen"
1279,"Dresden","Sachsen","Sachsen"
1307,"Dresden","Sachsen","Sachsen"
1309,"Dresden","Sachsen","Sachsen"
1324,"Dresden","Sachsen","Sachsen"
1326,"Dresden","Sachsen","Sachsen"
1328,"Dresden","Sachsen","Sachsen"
1445,"Radebeul","Sachsen","Sachsen"
1454,"Radeberg","Sachsen","Sachsen"
1454,"Wachau","Sachsen","Sachsen"
1458,"Ottendorf-Okrilla","Sachsen","Sachsen"
1465,"Langebrück","Sachsen","Sachsen"
1465,"Schönborn","Sachsen","Sachsen"
1468,"Moritzburg","Sachsen","Sachsen"
1471,"Radeburg","Sachsen","Sachsen"
1477,"Arnsdorf","Sachsen","Sachsen"
1558,"Großenhain","Sachsen","Sachsen"
1561,"Ebersbach","Sachsen","Sachsen"
1561,"Großenhain","Sachsen","Sachsen"
1561,"Lampertswalde","Sachsen","Sachsen"
1561,"Priestewitz","Sachsen","Sachsen"
1561,"Schönfeld","Sachsen","Sachsen"
1561,"Thiendorf","Sachsen","Sachsen"
1587,"Riesa","Sachsen","Sachsen"
1589,"Riesa","Sachsen","Sachsen"
1591,"Riesa","Sachsen","Sachsen"
1594,"Hirschstein","Sachsen","Sachsen"
1594,"Riesa","Sachsen","Sachsen"
1594,"Treben","Sachsen","Sachsen"
1594,"Stauchitz","Sachsen","Sachsen"
1594,"Stösitz","Sachsen","Sachsen"
1609,"Nauwalde","Sachsen","Sachsen"
1609,"Gröditz","Sachsen","Sachsen"
1609,"Röderaue","Sachsen","Sachsen"
1609,"Wülknitz","Sachsen","Sachsen"
1609,"Tiefenau","Sachsen","Sachsen"
1609,"Lichtensee","Sachsen","Sachsen"
1612,"Glaubitz","Sachsen","Sachsen"
1612,"Nünchritz","Sachsen","Sachsen"
1612,"Diesbar-Seußlitz","Sachsen","Sachsen"
1616,"Strehla","Sachsen","Sachsen"
1619,"Zeithain","Sachsen","Sachsen"
1623,"Lommatzsch","Sachsen","Sachsen"
1640,"Coswig","Sachsen","Sachsen"
1662,"Meißen","Sachsen","Sachsen"
1665,"Diera-Zehren","Sachsen","Sachsen"
1665,"Käbschütztal","Sachsen","Sachsen"
1665,"Klipphausen","Sachsen","Sachsen"
1683,"Nossen","Sachsen","Sachsen"
1689,"Niederau","Sachsen","Sachsen"
1689,"Weinböhla","Sachsen","Sachsen"
1705,"Freital","Sachsen","Sachsen"
1723,"Wilsdruff","Sachsen","Sachsen"
1723,"Mohorn","Sachsen","Sachsen"
1723,"Helbigsdorf-Blankenstein","Sachsen","Sachsen"
1728,"Bannewitz","Sachsen","Sachsen"
1731,"Kreischa","Sachsen","Sachsen"
1734,"Rabenau","Sachsen","Sachsen"
1737,"Tharandt","Sachsen","Sachsen"
1737,"Kurort Hartha","Sachsen","Sachsen"
1737,"Pohrsdorf","Sachsen","Sachsen"
1737,"Oberhermsdorf","Sachsen","Sachsen"
1738,"Dorfhain","Sachsen","Sachsen"
1744,"Dippoldiswalde","Sachsen","Sachsen"
1762,"Hartmannsdorf-Reichenau","Sachsen","Sachsen"
1768,"Glashütte","Sachsen","Sachsen"
1773,"Altenberg","Sachsen","Sachsen"
1774,"Klingenberg","Sachsen","Sachsen"
1776,"Hermsdorf","Sachsen","Sachsen"
1776,"Hermsdorf-Seyde","Sachsen","Sachsen"
1778,"Liebenau","Sachsen","Sachsen"
1778,"Lauenstein","Sachsen","Sachsen"
1778,"Müglitz","Sachsen","Sachsen"
1796,"Dohma","Sachsen","Sachsen"
1796,"Pirna","Sachsen","Sachsen"
1796,"Struppen","Sachsen","Sachsen"
1809,"Dohna","Sachsen","Sachsen"
1809,"Heidenau","Sachsen","Sachsen"
1809,"Müglitztal","Sachsen","Sachsen"
1814,"Bad Schandau","Sachsen","Sachsen"
1814,"Rathmannsdorf","Sachsen","Sachsen"
1814,"Kleingießhübel","Sachsen","Sachsen"
1814,"Schöna","Sachsen","Sachsen"
1816,"Bad Gottleuba-Berggießhübel","Sachsen","Sachsen"
1819,"Bahretal","Sachsen","Sachsen"
1824,"Gohrisch","Sachsen","Sachsen"
1824,"Königstein","Sachsen","Sachsen"
1824,"Kurort Rathen","Sachsen","Sachsen"
1824,"Rosenthal-Bielatal","Sachsen","Sachsen"
1825,"Liebstadt","Sachsen","Sachsen"
1829,"Stadt Wehlen","Sachsen","Sachsen"
1833,"Dürrröhrsdorf-Dittersbach","Sachsen","Sachsen"
1833,"Stolpen","Sachsen","Sachsen"
